name,state,lat,lng
Abilene,TX,32.4487,-99.7331
Albany,NY,42.6526,-73.7562
Albuquerque,NM,35.0844,-106.6504
Amarillo,TX,35.222,-101.8313
Anchorage,AK,61.2181,-149.9003
Annapolis,MD,38.9784,-76.4922
Asheville,NC,35.5951,-82.5515
Atlanta,GA,33.749,-84.388
Augusta,GA,33.4735,-82.0105
Augusta,ME,44.3106,-69.7795
Austin,TX,30.2672,-97.7431
Bakersfield,CA,35.3733,-119.0187
Baltimore,MD,39.2904,-76.6122
Bangor,ME,44.8012,-68.7778
Baton Rouge,LA,30.4515,-91.1871
Bend,OR,44.0582,-121.3153
Billings,MT,45.7833,-108.5007
Birmingham,AL,33.5186,-86.8104
Bismarck,ND,46.8083,-100.7837
Boise,ID,43.615,-116.2023
Boston,MA,42.3601,-71.0589
Bowling Green,KY,36.9685,-86.4808
Bridgeport,CT,41.1792,-73.1894
Buffalo,NY,42.8864,-78.8784
Burlington,VT,44.4759,-73.2121
Camden,NJ,39.9259,-75.1196
Carson City,NV,39.1638,-119.7674
Casper,WY,42.8501,-106.3252
Cedar Rapids,IA,41.9779,-91.6656
Charleston,SC,32.7765,-79.9311
Charleston,WV,38.3498,-81.6326
Charlotte,NC,35.2271,-80.8431
Chattanooga,TN,35.0456,-85.3097
Cheyenne,WY,41.14,-104.8202
Chicago,IL,41.8781,-87.6298
Cincinnati,OH,39.1031,-84.512
Cleveland,OH,41.4993,-81.6944
Coeur d'Alene,ID,47.6777,-116.7805
Colorado Springs,CO,38.8339,-104.8214
Columbia,MO,38.9517,-92.3341
Columbia,SC,34.0007,-81.0348
Columbus,GA,32.461,-84.9877
Columbus,OH,39.9612,-82.9988
Concord,NH,43.2081,-71.5376
Dallas,TX,32.7767,-96.797
Davenport,IA,41.5236,-90.5776
Dayton,OH,39.7589,-84.1916
Denver,CO,39.7392,-104.9903
Des Moines,IA,41.5868,-93.625
Detroit,MI,42.3314,-83.0458
Dover,DE,39.1582,-75.5244
Duluth,MN,46.7867,-92.1005
Effingham,IL,39.12,-88.5434
El Paso,TX,31.7619,-106.485
Erie,PA,42.1292,-80.0851
Eugene,OR,44.0521,-123.0868
Evansville,IN,37.9748,-87.5558
Fairbanks,AK,64.8378,-147.7164
Fargo,ND,46.8772,-96.7898
Fayetteville,AR,36.0626,-94.1574
Flagstaff,AZ,35.1983,-111.6513
Flint,MI,43.0125,-83.6875
Fort Wayne,IN,41.0793,-85.1394
Frankfort,KY,38.2009,-84.8733
Fresno,CA,36.7378,-119.7871
Grand Island,NE,40.9264,-98.342
Grand Junction,CO,39.0639,-108.5506
Grand Rapids,MI,42.9634,-85.6681
Green Bay,WI,44.5133,-88.0133
Greensboro,NC,36.0726,-79.792
Greenville,SC,34.8526,-82.394
Gulfport,MS,30.3674,-89.0928
Hagerstown,MD,39.6418,-77.72
Harrisburg,PA,40.2732,-76.8867
Hartford,CT,41.7658,-72.6734
Hattiesburg,MS,31.3271,-89.2903
Helena,MT,46.5891,-112.0391
Hilo,HI,19.7241,-155.0868
Honolulu,HI,21.3069,-157.8583
Houston,TX,29.7604,-95.3698
Huntington,WV,38.4192,-82.4452
Huntsville,AL,34.7304,-86.5861
Idaho Falls,ID,43.4917,-112.0339
Indianapolis,IN,39.7684,-86.1581
Jackson,MS,32.2988,-90.1848
Jacksonville,FL,30.3322,-81.6557
Jefferson City,MO,38.5767,-92.1735
Juneau,AK,58.3019,-134.4197
Kansas City,KS,39.1147,-94.6275
Kansas City,MO,39.0997,-94.5786
Knoxville,TN,35.9606,-83.9207
La Crosse,WI,43.8014,-91.2396
Lafayette,LA,30.2241,-92.0198
Lansing,MI,42.7325,-84.5555
Las Cruces,NM,32.3199,-106.7637
Las Vegas,NV,36.1699,-115.1398
Lexington,KY,38.0406,-84.5037
Lincoln,NE,40.8136,-96.7026
Little Rock,AR,34.7465,-92.2896
Los Angeles,CA,34.0522,-118.2437
Louisville,KY,38.2527,-85.7585
Lubbock,TX,33.5779,-101.8552
Madison,WI,43.0731,-89.4012
Manchester,NH,42.9956,-71.4548
Memphis,TN,35.1495,-90.049
Mesa,AZ,33.4152,-111.8315
Miami,FL,25.7617,-80.1918
Milwaukee,WI,43.0389,-87.9065
Minneapolis,MN,44.9778,-93.265
Missoula,MT,46.8721,-113.994
Mobile,AL,30.6954,-88.0399
Montgomery,AL,32.3792,-86.3077
Montpelier,VT,44.2601,-72.5754
Nashville,TN,36.1627,-86.7816
New Haven,CT,41.3083,-72.9279
New Orleans,LA,29.9511,-90.0715
New York,NY,40.7128,-74.006
Newark,NJ,40.7357,-74.1724
Norfolk,VA,36.8508,-76.2859
Ogden,UT,41.223,-111.9738
Oklahoma City,OK,35.4676,-97.5164
Olympia,WA,47.0379,-122.9007
Omaha,NE,41.2565,-95.9345
Orlando,FL,28.5383,-81.3792
Pensacola,FL,30.4213,-87.2169
Peoria,IL,40.6936,-89.589
Philadelphia,PA,39.9526,-75.1652
Phoenix,AZ,33.4484,-112.074
Pierre,SD,44.3683,-100.351
Pittsburgh,PA,40.4406,-79.9959
Portland,ME,43.6591,-70.2568
Portland,OR,45.5152,-122.6784
Providence,RI,41.824,-71.4128
Provo,UT,40.2338,-111.6585
Pueblo,CO,38.2544,-104.6091
Raleigh,NC,35.7796,-78.6382
Rapid City,SD,44.0805,-103.231
Redding,CA,40.5865,-122.3917
Reno,NV,39.5296,-119.8138
Richmond,VA,37.5407,-77.436
Roanoke,VA,37.271,-79.9414
Rochester,MN,44.0121,-92.4802
Rochester,NY,43.1566,-77.6088
Rockford,IL,42.2711,-89.094
Sacramento,CA,38.5816,-121.4944
Saint Paul,MN,44.9537,-93.09
Salem,OR,44.9429,-123.0351
Salina,KS,38.8403,-97.6114
Salt Lake City,UT,40.7608,-111.891
San Antonio,TX,29.4241,-98.4936
San Diego,CA,32.7157,-117.1611
San Francisco,CA,37.7749,-122.4194
Santa Fe,NM,35.687,-105.9378
Savannah,GA,32.0809,-81.0912
Seattle,WA,47.6062,-122.3321
Shreveport,LA,32.5252,-93.7502
Sikeston,MO,36.8767,-89.5878
Sioux City,IA,42.4963,-96.4049
